,Time,Tank_1,Tank_2,Tank_3,Tank_4,Tank_5,Tank_6,Tank_7,Tank_8,Pump_1,Pump_2,Pump_3,Pump_4,Pump_5,Pump_6,Flow_sensor_1,Flow_sensor_2,Flow_sensor_3,Flow_sensor_4,Valv_1,Valv_2,Valv_3,Valv_4,Valv_5,Valv_6,Valv_7,Valv_8,Valv_9,Valv_10,Valv_11,Valv_12,Valv_13,Valv_14,Valv_15,Valv_16,Valv_17,Valv_18,Valv_19,Valv_20,Valv_21,Valv_22,Label_n,Label,mac_s,mac_d,ip_s,ip_d,sport,dport,proto,flags,size,modbus_fn,n_pkt_src,n_pkt_dst,modbus_response
0,2022-21-02 14:45:18,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
1,2022-21-02 14:45:19,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
2,2022-21-02 14:45:20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
3,2022-21-02 14:45:21,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
4,2022-21-02 14:45:22,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
5,2022-21-02 14:45:23,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
6,2022-21-02 14:45:24,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
7,2022-21-02 14:45:25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,e6:3f:ac:c9:a8:8c,84.3.251.20,84.3.251.101,60614.0,502.0,Modbus,11000.0,66,Read Holding Registers,,0.0,0.0
8,2022-21-02 14:45:26,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,00:80:f4:03:fb:12,74:46:a0:bd:a7:1b,84.3.251.18,84.3.251.20,502.0,60523.0,TCP,11000.0,64,,,7.0,51.0
9,2022-21-02 14:45:27,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,normal,74:46:a0:bd:a7:1b,00:80:f4:03:fb:12,84.3.251.20,84.3.251.18,60613.0,502.0,Modbus,11000.0,66,Read Holding Registers,,45.0,4.0
